sample,time_s,x_in_V,d_in_V,y_out_V,e_out_V
0,0.000000,0.000000,0.000000,0.000000,0.000000
1,0.000100,0.094070,0.031403,0.000000,0.000000
2,0.000200,0.187134,0.062790,0.000000,0.000000
3,0.000300,0.278168,0.094101,0.000000,0.062790
4,0.000400,0.366196,0.125320,0.000000,0.062790
5,0.000500,0.450317,0.156433,0.000000,0.125320
6,0.000600,0.529648,0.187378,0.000000,0.125320
7,0.000700,0.603394,0.218140,0.000000,0.187378
8,0.000800,0.670853,0.248688,0.000000,0.187378
9,0.000900,0.731400,0.278976,0.000000,0.248688
10,0.001000,0.784531,0.309006,0.000000,0.248688
11,0.001100,0.829880,0.338730,0.000000,0.309006
12,0.001200,0.867126,0.368118,0.000000,0.309006
13,0.001300,0.896149,0.397141,0.000000,0.368118
14,0.001400,0.916916,0.425766,0.000000,0.368118
15,0.001500,0.929504,0.453979,0.000000,0.425766
16,0.001600,0.934158,0.481750,0.000031,0.425735
17,0.001700,0.931198,0.509033,0.000122,0.481628
18,0.001800,0.921082,0.535812,0.000244,0.481506
19,0.001900,0.904343,0.562073,0.000473,0.535339
20,0.002000,0.881668,0.587784,0.000793,0.535019
21,0.002100,0.853775,0.612900,0.001297,0.586487
22,0.002200,0.821472,0.637421,0.001923,0.585861
23,0.002300,0.785645,0.661301,0.002838,0.634583
24,0.002400,0.747208,0.684540,0.003937,0.633484
25,0.002500,0.707092,0.707092,0.005371,0.679169
26,0.002600,0.666290,0.728958,0.006989,0.677551
27,0.002700,0.625763,0.750107,0.009018,0.719940
28,0.002800,0.586441,0.770508,0.011230,0.717728
29,0.002900,0.549271,0.790146,0.013855,0.756653
30,0.003000,0.515121,0.809006,0.016602,0.753906
31,0.003100,0.484802,0.827072,0.019760,0.789246
32,0.003200,0.459061,0.844315,0.023041,0.785965
33,0.003300,0.438568,0.860733,0.026627,0.817688
34,0.003400,0.423889,0.876297,0.030258,0.814056
35,0.003500,0.415466,0.891006,0.034256,0.842041
36,0.003600,0.413681,0.904816,0.038208,0.838089
37,0.003700,0.418732,0.917740,0.042404,0.862411
38,0.003800,0.430756,0.929764,0.046539,0.858276
39,0.003900,0.449722,0.940872,0.050827,0.878937
40,0.004000,0.475525,0.951050,0.055008,0.874756
41,0.004100,0.507874,0.960281,0.059326,0.891724
42,0.004200,0.546417,0.968582,0.063538,0.887512
43,0.004300,0.590652,0.975906,0.067947,0.900635
44,0.004400,0.639999,0.982285,0.072266,0.896317
45,0.004500,0.693787,0.987686,0.076843,0.905441
46,0.004600,0.751236,0.992111,0.081360,0.900925
47,0.004700,0.811493,0.995560,0.086121,0.905991
48,0.004800,0.873672,0.998016,0.090988,0.901123
49,0.004900,0.936829,0.999496,0.096191,0.901825
50,0.005000,0.999985,1.000000,0.101562,0.896454
51,0.005100,1.062164,0.999496,0.107407,0.892593
52,0.005200,1.122360,0.998016,0.113617,0.886383
53,0.005300,1.179611,0.995560,0.120346,0.877670
54,0.005400,1.232986,0.992111,0.127548,0.870468
55,0.005500,1.281570,0.987686,0.135513,0.856598
56,0.005600,1.324554,0.982285,0.144135,0.847977
57,0.005700,1.361160,0.975906,0.153641,0.828644
58,0.005800,1.390747,0.968582,0.163971,0.818314
59,0.005900,1.412704,0.960281,0.175293,0.793289
60,0.006000,1.426575,0.951050,0.187607,0.780975
61,0.006100,1.432022,0.940872,0.201035,0.750015
62,0.006200,1.428787,0.929764,0.215652,0.735397
63,0.006300,1.416763,0.917740,0.231369,0.698395
64,0.006400,1.395966,0.904816,0.248260,0.681503
65,0.006500,1.366531,0.891006,0.266312,0.638504
66,0.006600,1.328720,0.876297,0.285507,0.619308
67,0.006700,1.282898,0.860733,0.305573,0.570724
68,0.006800,1.229584,0.844315,0.326721,0.549576
69,0.006900,1.169342,0.827072,0.348495,0.495819
70,0.007000,1.102905,0.809006,0.371078,0.473236
71,0.007100,1.031021,0.790146,0.393875,0.415131
72,0.007200,0.954575,0.770508,0.417053,0.391953
73,0.007300,0.874451,0.750107,0.439926,0.330582
74,0.007400,0.791626,0.728958,0.462677,0.307831
75,0.007500,0.707092,0.707092,0.484512,0.244446
76,0.007600,0.621872,0.684540,0.505707,0.223251
77,0.007700,0.536957,0.661301,0.525284,0.159256
78,0.007800,0.453354,0.637421,0.543671,0.140869
79,0.007900,0.372025,0.612900,0.559738,0.077682
80,0.008000,0.293884,0.587784,0.574203,0.063217
81,0.008100,0.219803,0.562073,0.585800,0.001984
82,0.008200,0.150558,0.535812,0.595367,-0.007584
83,0.008300,0.086868,0.509033,0.601761,-0.065948
84,0.008400,0.029327,0.481750,0.606018,-0.070206
85,0.008500,-0.021530,0.453979,0.606934,-0.125183
86,0.008600,-0.065353,0.425766,0.605652,-0.123901
87,0.008700,-0.101852,0.397141,0.601074,-0.175308
88,0.008800,-0.130875,0.368118,0.594543,-0.168777
89,0.008900,-0.152405,0.338730,0.585022,-0.216904
90,0.009000,-0.166504,0.309006,0.573746,-0.205627
91,0.009100,-0.173416,0.278976,0.560226,-0.251221
92,0.009200,-0.173462,0.248688,0.544998,-0.235992
93,0.009300,-0.167099,0.218140,0.527802,-0.279114
94,0.009400,-0.154892,0.187378,0.509872,-0.261185
95,0.009500,-0.137451,0.156433,0.490189,-0.302811
96,0.009600,-0.115540,0.125320,0.470291,-0.282913
97,0.009700,-0.089951,0.094101,0.449097,-0.323776
98,0.009800,-0.061554,0.062790,0.428101,-0.302780
99,0.009900,-0.031250,0.031403,0.406235,-0.343445
100,0.010000,0.000000,0.000000,0.384949,-0.322159
101,0.010100,0.031250,-0.031403,0.363037,-0.363037
102,0.010200,0.061554,-0.062790,0.342072,-0.342072
103,0.010300,0.089951,-0.094101,0.320816,-0.383606
104,0.010400,0.115540,-0.125320,0.300781,-0.363571
105,0.010500,0.137451,-0.156433,0.280624,-0.405945
106,0.010600,0.154892,-0.187378,0.261810,-0.387131
107,0.010700,0.167099,-0.218140,0.242920,-0.430298
108,0.010800,0.173462,-0.248688,0.225525,-0.412903
109,0.010900,0.173416,-0.278976,0.208130,-0.456818
110,0.011000,0.166504,-0.309006,0.192123,-0.440811
111,0.011100,0.152405,-0.338730,0.176132,-0.485138
112,0.011200,0.130875,-0.368118,0.161530,-0.470535
113,0.011300,0.101852,-0.397141,0.146805,-0.514923
114,0.011400,0.065353,-0.425766,0.133301,-0.501419
115,0.011500,0.021530,-0.453979,0.119537,-0.545303
116,0.011600,-0.029327,-0.481750,0.106873,-0.532639
117,0.011700,-0.086868,-0.509033,0.093750,-0.575500
118,0.011800,-0.150558,-0.535812,0.081497,-0.563248
119,0.011900,-0.219803,-0.562073,0.068695,-0.604507
120,0.012000,-0.293884,-0.587784,0.056458,-0.592270
121,0.012100,-0.372025,-0.612900,0.043518,-0.631302
122,0.012200,-0.453354,-0.637421,0.031052,-0.618835
123,0.012300,-0.536957,-0.661301,0.017776,-0.655197
124,0.012400,-0.621872,-0.684540,0.004883,-0.642303
125,0.012500,-0.707092,-0.707092,-0.008835,-0.675705
126,0.012600,-0.791626,-0.728958,-0.022354,-0.662186
127,0.012700,-0.874451,-0.750107,-0.036697,-0.692261
128,0.012800,-0.954575,-0.770508,-0.050812,-0.678146
129,0.012900,-1.031021,-0.790146,-0.065582,-0.704926
130,0.013000,-1.102905,-0.809006,-0.080231,-0.690277
131,0.013100,-1.169342,-0.827072,-0.095413,-0.713593
132,0.013200,-1.229584,-0.844315,-0.110504,-0.698502
133,0.013300,-1.282898,-0.860733,-0.126038,-0.718277
134,0.013400,-1.328720,-0.876297,-0.141525,-0.702789
135,0.013500,-1.366531,-0.891006,-0.157394,-0.718903
136,0.013600,-1.395966,-0.904816,-0.173264,-0.703033
137,0.013700,-1.416763,-0.917740,-0.189575,-0.715240
138,0.013800,-1.428787,-0.929764,-0.205948,-0.698868
139,0.013900,-1.432022,-0.940872,-0.222824,-0.706940
140,0.014000,-1.426575,-0.951050,-0.239960,-0.689804
141,0.014100,-1.412704,-0.960281,-0.257721,-0.693329
142,0.014200,-1.390747,-0.968582,-0.275803,-0.675247
143,0.014300,-1.361160,-0.975906,-0.294556,-0.674026
144,0.014400,-1.324554,-0.982285,-0.313675,-0.654907
145,0.014500,-1.281570,-0.987686,-0.333527,-0.648758
146,0.014600,-1.232986,-0.992111,-0.353729,-0.628555
147,0.014700,-1.179611,-0.995560,-0.374634,-0.617477
148,0.014800,-1.122360,-0.998016,-0.395782,-0.596329
149,0.014900,-1.062164,-0.999496,-0.417358,-0.580658
150,0.015000,-1.000000,-1.000000,-0.438965,-0.559052
151,0.015100,-0.936829,-0.999496,-0.460663,-0.539337
152,0.015200,-0.873672,-0.998016,-0.482025,-0.517975
153,0.015300,-0.811493,-0.995560,-0.503098,-0.494919
154,0.015400,-0.751236,-0.992111,-0.523422,-0.474594
155,0.015500,-0.693787,-0.987686,-0.542953,-0.449158
156,0.015600,-0.639999,-0.982285,-0.561264,-0.430847
157,0.015700,-0.590652,-0.975906,-0.578323,-0.403961
158,0.015800,-0.546417,-0.968582,-0.593750,-0.388535
159,0.015900,-0.507874,-0.960281,-0.607361,-0.361221
160,0.016000,-0.475525,-0.951050,-0.619003,-0.349579
161,0.016100,-0.449722,-0.940872,-0.628616,-0.322433
162,0.016200,-0.430756,-0.929764,-0.636032,-0.315018
163,0.016300,-0.418732,-0.917740,-0.641129,-0.288635
164,0.016400,-0.413681,-0.904816,-0.644012,-0.285751
165,0.016500,-0.415466,-0.891006,-0.644547,-0.260269
166,0.016600,-0.423889,-0.876297,-0.642960,-0.261856
167,0.016700,-0.438568,-0.860733,-0.639175,-0.237122
168,0.016800,-0.459061,-0.844315,-0.633408,-0.242889
169,0.016900,-0.484802,-0.827072,-0.625763,-0.218552
170,0.017000,-0.515121,-0.809006,-0.616577,-0.227737
171,0.017100,-0.549271,-0.790146,-0.605789,-0.203217
172,0.017200,-0.586441,-0.770508,-0.593964,-0.215042
173,0.017300,-0.625763,-0.750107,-0.580902,-0.189606
174,0.017400,-0.666290,-0.728958,-0.567307,-0.203201
175,0.017500,-0.707092,-0.707092,-0.552856,-0.176102
176,0.017600,-0.747208,-0.684540,-0.538361,-0.190598
177,0.017700,-0.785645,-0.661301,-0.523544,-0.160995
178,0.017800,-0.821472,-0.637421,-0.509232,-0.175308
179,0.017900,-0.853775,-0.612900,-0.494827,-0.142593
180,0.018000,-0.881668,-0.587784,-0.481384,-0.156036
181,0.018100,-0.904343,-0.562073,-0.468231,-0.119553
182,0.018200,-0.921082,-0.535812,-0.456299,-0.131485
183,0.018300,-0.931198,-0.509033,-0.444855,-0.090958
184,0.018400,-0.934158,-0.481750,-0.434906,-0.100906
185,0.018500,-0.929504,-0.453979,-0.425476,-0.056274
186,0.018600,-0.916916,-0.425766,-0.417664,-0.064087
187,0.018700,-0.896149,-0.397141,-0.410492,-0.015274
188,0.018800,-0.867126,-0.368118,-0.404816,-0.020950
189,0.018900,-0.829880,-0.338730,-0.399567,0.031448
190,0.019000,-0.784531,-0.309006,-0.395782,0.027664
191,0.019100,-0.731400,-0.278976,-0.392090,0.083084
192,0.019200,-0.670853,-0.248688,-0.389542,0.080536
193,0.019300,-0.603394,-0.218140,-0.386749,0.138062
194,0.019400,-0.529648,-0.187378,-0.384750,0.136063
195,0.019500,-0.450317,-0.156433,-0.381943,0.194565
196,0.019600,-0.366196,-0.125320,-0.379440,0.192062
197,0.019700,-0.278168,-0.094101,-0.375732,0.250412
198,0.019800,-0.187134,-0.062790,-0.371826,0.246506
199,0.019900,-0.094070,-0.031403,-0.366241,0.303452
200,0.020000,0.000000,0.000000,-0.360168,0.297379
201,0.020100,0.094070,0.031403,-0.351791,0.351791
202,0.020200,0.187134,0.062790,-0.342529,0.342529
203,0.020300,0.278168,0.094101,-0.330673,0.393463
204,0.020400,0.366196,0.125320,-0.317734,0.380524
205,0.020500,0.450317,0.156433,-0.302139,0.427460
206,0.020600,0.529648,0.187378,-0.285294,0.410614
207,0.020700,0.603394,0.218140,-0.265625,0.453003
208,0.020800,0.670853,0.248688,-0.244751,0.432129
209,0.020900,0.731400,0.278976,-0.221313,0.470001
210,0.021000,0.784531,0.309006,-0.196823,0.445511
211,0.021100,0.829880,0.338730,-0.169952,0.478958
212,0.021200,0.867126,0.368118,-0.142181,0.451187
213,0.021300,0.896149,0.397141,-0.112411,0.480530
214,0.021400,0.916916,0.425766,-0.081909,0.450027
215,0.021500,0.929504,0.453979,-0.049744,0.475510
216,0.021600,0.934158,0.481750,-0.017197,0.442963
217,0.021700,0.931198,0.509033,0.016708,0.465042
218,0.021800,0.921082,0.535812,0.050781,0.430969
219,0.021900,0.904343,0.562073,0.085876,0.449936
220,0.022000,0.881668,0.587784,0.120880,0.414932
221,0.022100,0.853775,0.612900,0.156586,0.431198
222,0.022200,0.821472,0.637421,0.191849,0.395935
223,0.022300,0.785645,0.661301,0.227432,0.409988
224,0.022400,0.747208,0.684540,0.262268,0.375153
225,0.022500,0.707092,0.707092,0.297012,0.387527
226,0.022600,0.666290,0.728958,0.330704,0.353836
227,0.022700,0.625763,0.750107,0.363815,0.365143
228,0.022800,0.586441,0.770508,0.395508,0.333450
229,0.022900,0.549271,0.790146,0.426300,0.344208
230,0.023000,0.515121,0.809006,0.455261,0.315247
231,0.023100,0.484802,0.827072,0.482895,0.326111
232,0.023200,0.459061,0.844315,0.508270,0.300735
233,0.023300,0.438568,0.860733,0.532104,0.312210
234,0.023400,0.423889,0.876297,0.553497,0.290817
235,0.023500,0.415466,0.891006,0.573029,0.303268
236,0.023600,0.413681,0.904816,0.589905,0.286392
237,0.023700,0.418732,0.917740,0.604736,0.300079
238,0.023800,0.430756,0.929764,0.616867,0.287949
239,0.023900,0.449722,0.940872,0.627090,0.302673
240,0.024000,0.475525,0.951050,0.634689,0.295074
241,0.024100,0.507874,0.960281,0.640366,0.310684
242,0.024200,0.546417,0.968582,0.643600,0.307449
243,0.024300,0.590652,0.975906,0.645218,0.323364
244,0.024400,0.639999,0.982285,0.644730,0.323853
245,0.024500,0.693787,0.987686,0.642883,0.339401
246,0.024600,0.751236,0.992111,0.639359,0.342926
247,0.024700,0.811493,0.995560,0.634735,0.357376
248,0.024800,0.873672,0.998016,0.628952,0.363159
249,0.024900,0.936829,0.999496,0.622574,0.375443
250,0.025000,0.999985,1.000000,0.615402,0.382614
251,0.025100,1.062164,0.999496,0.608063,0.391937
252,0.025200,1.122360,0.998016,0.600494,0.399506
253,0.025300,1.179611,0.995560,0.593048,0.404968
254,0.025400,1.232986,0.992111,0.585785,0.412231
255,0.025500,1.281570,0.987686,0.579117,0.412994
256,0.025600,1.324554,0.982285,0.573074,0.419037
257,0.025700,1.361160,0.975906,0.567841,0.414444
258,0.025800,1.390747,0.968582,0.563553,0.418732
259,0.025900,1.412704,0.960281,0.560455,0.408127
260,0.026000,1.426575,0.951050,0.558533,0.410049
261,0.026100,1.432022,0.940872,0.557892,0.393158
262,0.026200,1.428787,0.929764,0.558640,0.392410
263,0.026300,1.416763,0.917740,0.560822,0.368942
264,0.026400,1.395966,0.904816,0.564468,0.365295
265,0.026500,1.366531,0.891006,0.569504,0.335312
266,0.026600,1.328720,0.876297,0.576096,0.328720
267,0.026700,1.282898,0.860733,0.583878,0.292419
268,0.026800,1.229584,0.844315,0.593033,0.283264
269,0.026900,1.169342,0.827072,0.603088,0.241226
270,0.027000,1.102905,0.809006,0.614151,0.230164
271,0.027100,1.031021,0.790146,0.625656,0.183350
272,0.027200,0.954575,0.770508,0.637711,0.171295
273,0.027300,0.874451,0.750107,0.649567,0.120941
274,0.027400,0.791626,0.728958,0.661407,0.109100
275,0.027500,0.707092,0.707092,0.672348,0.056610
276,0.027600,0.621872,0.684540,0.682587,0.046371
277,0.027700,0.536957,0.661301,0.691101,-0.006561
278,0.027800,0.453354,0.637421,0.698242,-0.013702
279,0.027900,0.372025,0.612900,0.702911,-0.065491
280,0.028000,0.293884,0.587784,0.705612,-0.068192
281,0.028100,0.219803,0.562073,0.705139,-0.117355
282,0.028200,0.150558,0.535812,0.702240,-0.114456
283,0.028300,0.086868,0.509033,0.695648,-0.159836
284,0.028400,0.029327,0.481750,0.686340,-0.150528
285,0.028500,-0.021530,0.453979,0.673141,-0.191391
286,0.028600,-0.065353,0.425766,0.657272,-0.175522
287,0.028700,-0.101852,0.397141,0.637192,-0.211426
288,0.028800,-0.130875,0.368118,0.614731,-0.188965
289,0.028900,-0.152405,0.338730,0.588715,-0.220596
290,0.029000,-0.166504,0.309006,0.560333,-0.192215
291,0.029100,-0.173416,0.278976,0.528625,-0.219620
292,0.029200,-0.173462,0.248688,0.495117,-0.186111
293,0.029300,-0.167099,0.218140,0.458801,-0.210114
294,0.029400,-0.154892,0.187378,0.421371,-0.172684
295,0.029500,-0.137451,0.156433,0.381714,-0.194336
296,0.029600,-0.115540,0.125320,0.341492,-0.154114
297,0.029700,-0.089951,0.094101,0.299713,-0.174393
298,0.029800,-0.061554,0.062790,0.257935,-0.132614
299,0.029900,-0.031250,0.031403,0.215225,-0.152435
300,0.030000,0.000000,0.000000,0.173325,-0.110535
301,0.030100,0.031250,-0.031403,0.131012,-0.131012
302,0.030200,0.061554,-0.062790,0.090057,-0.090057
303,0.030300,0.089951,-0.094101,0.049393,-0.112183
304,0.030400,0.115540,-0.125320,0.010635,-0.073425
305,0.030500,0.137451,-0.156433,-0.027344,-0.097977
306,0.030600,0.154892,-0.187378,-0.063065,-0.062256
307,0.030700,0.167099,-0.218140,-0.097565,-0.089813
308,0.030800,0.173462,-0.248688,-0.129456,-0.057922
309,0.030900,0.173416,-0.278976,-0.159897,-0.088791
310,0.031000,0.166504,-0.309006,-0.187485,-0.061203
311,0.031100,0.152405,-0.338730,-0.213470,-0.095535
312,0.031200,0.130875,-0.368118,-0.236633,-0.072372
313,0.031300,0.101852,-0.397141,-0.258224,-0.109894
314,0.031400,0.065353,-0.425766,-0.277023,-0.091095
315,0.031500,0.021530,-0.453979,-0.294388,-0.131378
316,0.031600,-0.029327,-0.481750,-0.309052,-0.116714
317,0.031700,-0.086868,-0.509033,-0.322617,-0.159134
318,0.031800,-0.150558,-0.535812,-0.333908,-0.147842
319,0.031900,-0.219803,-0.562073,-0.344391,-0.191422
320,0.032000,-0.293884,-0.587784,-0.352982,-0.182831
321,0.032100,-0.372025,-0.612900,-0.361252,-0.226532
322,0.032200,-0.453354,-0.637421,-0.368149,-0.219635
323,0.032300,-0.536957,-0.661301,-0.375031,-0.262390
324,0.032400,-0.621872,-0.684540,-0.381073,-0.256348
325,0.032500,-0.707092,-0.707092,-0.387482,-0.297058
326,0.032600,-0.791626,-0.728958,-0.393570,-0.290970
327,0.032700,-0.874451,-0.750107,-0.400436,-0.328522
328,0.032800,-0.954575,-0.770508,-0.407288,-0.321671
329,0.032900,-1.031021,-0.790146,-0.415222,-0.355286
330,0.033000,-1.102905,-0.809006,-0.423523,-0.346985
331,0.033100,-1.169342,-0.827072,-0.433090,-0.375916
332,0.033200,-1.229584,-0.844315,-0.443253,-0.365753
333,0.033300,-1.282898,-0.860733,-0.454697,-0.389618
334,0.033400,-1.328720,-0.876297,-0.466949,-0.377365
335,0.033500,-1.366531,-0.891006,-0.480530,-0.395767
336,0.033600,-1.395966,-0.904816,-0.494949,-0.381348
337,0.033700,-1.416763,-0.917740,-0.510681,-0.394135
338,0.033800,-1.428787,-0.929764,-0.527344,-0.377472
339,0.033900,-1.432022,-0.940872,-0.545212,-0.384552
340,0.034000,-1.426575,-0.951050,-0.563843,-0.365921
341,0.034100,-1.412704,-0.960281,-0.583664,-0.367386
342,0.034200,-1.390747,-0.968582,-0.604202,-0.346848
343,0.034300,-1.361160,-0.975906,-0.625549,-0.343033
344,0.034400,-1.324554,-0.982285,-0.647507,-0.321075
345,0.034500,-1.281570,-0.987686,-0.670105,-0.312180
346,0.034600,-1.232986,-0.992111,-0.692932,-0.289352
347,0.034700,-1.179611,-0.995560,-0.716049,-0.276062
348,0.034800,-1.122360,-0.998016,-0.739029,-0.253082
349,0.034900,-1.062164,-0.999496,-0.761826,-0.236191
350,0.035000,-1.000000,-1.000000,-0.784012,-0.214005
351,0.035100,-0.936829,-0.999496,-0.805496,-0.194504
352,0.035200,-0.873672,-0.998016,-0.825699,-0.174301
353,0.035300,-0.811493,-0.995560,-0.844681,-0.153336
354,0.035400,-0.751236,-0.992111,-0.861877,-0.136139
355,0.035500,-0.693787,-0.987686,-0.877228,-0.114883
356,0.035600,-0.639999,-0.982285,-0.890259,-0.101852
357,0.035700,-0.590652,-0.975906,-0.900894,-0.081390
358,0.035800,-0.546417,-0.968582,-0.908783,-0.073502
359,0.035900,-0.507874,-0.960281,-0.913834,-0.054749
360,0.036000,-0.475525,-0.951050,-0.915878,-0.052704
361,0.036100,-0.449722,-0.940872,-0.914734,-0.036316
362,0.036200,-0.430756,-0.929764,-0.910461,-0.040588
363,0.036300,-0.418732,-0.917740,-0.903091,-0.026672
364,0.036400,-0.413681,-0.904816,-0.892700,-0.037064
365,0.036500,-0.415466,-0.891006,-0.879257,-0.025558
366,0.036600,-0.423889,-0.876297,-0.863022,-0.041794
367,0.036700,-0.438568,-0.860733,-0.843933,-0.032364
368,0.036800,-0.459061,-0.844315,-0.822571,-0.053726
369,0.036900,-0.484802,-0.827072,-0.798782,-0.045532
370,0.037000,-0.515121,-0.809006,-0.773178,-0.071136
371,0.037100,-0.549271,-0.790146,-0.745667,-0.063339
372,0.037200,-0.586441,-0.770508,-0.716934,-0.092072
373,0.037300,-0.625763,-0.750107,-0.687012,-0.083496
374,0.037400,-0.666290,-0.728958,-0.656509,-0.113998
375,0.037500,-0.707092,-0.707092,-0.625397,-0.103561
376,0.037600,-0.747208,-0.684540,-0.594315,-0.134644
377,0.037700,-0.785645,-0.661301,-0.563232,-0.121307
378,0.037800,-0.821472,-0.637421,-0.532974,-0.151566
379,0.037900,-0.853775,-0.612900,-0.503067,-0.134354
380,0.038000,-0.881668,-0.587784,-0.474579,-0.162842
381,0.038100,-0.904343,-0.562073,-0.446793,-0.140991
382,0.038200,-0.921082,-0.535812,-0.420990,-0.166794
383,0.038300,-0.931198,-0.509033,-0.396210,-0.139603
384,0.038400,-0.934158,-0.481750,-0.373657,-0.162155
385,0.038500,-0.929504,-0.453979,-0.352356,-0.129395
386,0.038600,-0.916916,-0.425766,-0.333466,-0.148285
387,0.038700,-0.896149,-0.397141,-0.315842,-0.109924
388,0.038800,-0.867126,-0.368118,-0.300583,-0.125183
389,0.038900,-0.829880,-0.338730,-0.286560,-0.081558
390,0.039000,-0.784531,-0.309006,-0.274811,-0.093307
391,0.039100,-0.731400,-0.278976,-0.263885,-0.045120
392,0.039200,-0.670853,-0.248688,-0.254974,-0.054031
393,0.039300,-0.603394,-0.218140,-0.246506,-0.002182
394,0.039400,-0.529648,-0.187378,-0.239655,-0.009033
395,0.039500,-0.450317,-0.156433,-0.232559,0.045181
396,0.039600,-0.366196,-0.125320,-0.226624,0.039246
397,0.039700,-0.278168,-0.094101,-0.219940,0.094620
398,0.039800,-0.187134,-0.062790,-0.213715,0.088394
399,0.039900,-0.094070,-0.031403,-0.206116,0.143326
400,0.040000,0.000000,0.000000,-0.198410,0.135620
401,0.040100,0.094070,0.031403,-0.188705,0.188705
402,0.040200,0.187134,0.062790,-0.178345,0.178345
403,0.040300,0.278168,0.094101,-0.165787,0.228577
404,0.040400,0.366196,0.125320,-0.151962,0.214752
405,0.040500,0.450317,0.156433,-0.135040,0.260361
406,0.040600,0.529648,0.187378,-0.116837,0.242157
407,0.040700,0.603394,0.218140,-0.095520,0.282898
408,0.040800,0.670853,0.248688,-0.072739,0.260117
409,0.040900,0.731400,0.278976,-0.046951,0.295639
410,0.041000,0.784531,0.309006,-0.019730,0.268417
411,0.041100,0.829880,0.338730,0.010239,0.298767
412,0.041200,0.867126,0.368118,0.041565,0.267441
413,0.041300,0.896149,0.397141,0.075302,0.292816
414,0.041400,0.916916,0.425766,0.110092,0.258026
415,0.041500,0.929504,0.453979,0.146881,0.278885
416,0.041600,0.934158,0.481750,0.184418,0.241348
417,0.041700,0.931198,0.509033,0.223511,0.258240
418,0.041800,0.921082,0.535812,0.262939,0.218811
419,0.041900,0.904343,0.562073,0.303467,0.232346
420,0.042000,0.881668,0.587784,0.343933,0.191879
421,0.042100,0.853775,0.612900,0.384918,0.202866
422,0.042200,0.821472,0.637421,0.425430,0.162354
423,0.042300,0.785645,0.661301,0.465958,0.171463
424,0.042400,0.747208,0.684540,0.505508,0.131912
425,0.042500,0.707092,0.707092,0.544571,0.139969
426,0.042600,0.666290,0.728958,0.582123,0.102417
427,0.042700,0.625763,0.750107,0.618622,0.110336
428,0.042800,0.586441,0.770508,0.653107,0.075851
429,0.042900,0.549271,0.790146,0.685989,0.084518
430,0.043000,0.515121,0.809006,0.716415,0.054092
431,0.043100,0.484802,0.827072,0.744873,0.064133
432,0.043200,0.459061,0.844315,0.770447,0.038559
433,0.043300,0.438568,0.860733,0.793793,0.050522
434,0.043400,0.423889,0.876297,0.813873,0.030441
435,0.043500,0.415466,0.891006,0.831573,0.044724
436,0.043600,0.413681,0.904816,0.845978,0.030319
437,0.043700,0.418732,0.917740,0.857819,0.046997
438,0.043800,0.430756,0.929764,0.866470,0.038345
439,0.043900,0.449722,0.940872,0.872559,0.057205
440,0.044000,0.475525,0.951050,0.875595,0.054169
441,0.044100,0.507874,0.960281,0.876221,0.074829
442,0.044200,0.546417,0.968582,0.874252,0.076797
443,0.044300,0.590652,0.975906,0.870316,0.098267
444,0.044400,0.639999,0.982285,0.863907,0.104675
445,0.044500,0.693787,0.987686,0.856186,0.126099
446,0.044600,0.751236,0.992111,0.846481,0.135803
447,0.044700,0.811493,0.995560,0.835938,0.156174
448,0.044800,0.873672,0.998016,0.824173,0.167938
449,0.044900,0.936829,0.999496,0.811783,0.186234
450,0.045000,0.999985,1.000000,0.798782,0.199234
451,0.045100,1.062164,0.999496,0.785812,0.214188
452,0.045200,1.122360,0.998016,0.772797,0.227203
453,0.045300,1.179611,0.995560,0.759995,0.238022
454,0.045400,1.232986,0.992111,0.747711,0.250305
455,0.045500,1.281570,0.987686,0.736145,0.255966
456,0.045600,1.324554,0.982285,0.725403,0.266708
457,0.045700,1.361160,0.975906,0.715759,0.266525
458,0.045800,1.390747,0.968582,0.707169,0.275116
459,0.045900,1.412704,0.960281,0.699905,0.268677
460,0.046000,1.426575,0.951050,0.693893,0.274689
461,0.046100,1.432022,0.940872,0.689346,0.261703
462,0.046200,1.428787,0.929764,0.686157,0.264893
463,0.046300,1.416763,0.917740,0.684387,0.245377
464,0.046400,1.395966,0.904816,0.683975,0.245789
465,0.046500,1.366531,0.891006,0.684814,0.220001
466,0.046600,1.328720,0.876297,0.686920,0.217896
467,0.046700,1.282898,0.860733,0.690033,0.186264
468,0.046800,1.229584,0.844315,0.694153,0.182144
469,0.046900,1.169342,0.827072,0.698914,0.145401
470,0.047000,1.102905,0.809006,0.704330,0.139984
471,0.047100,1.031021,0.790146,0.709778,0.099228
472,0.047200,0.954575,0.770508,0.715424,0.093582
473,0.047300,0.874451,0.750107,0.720566,0.049942
474,0.047400,0.791626,0.728958,0.725296,0.045212
475,0.047500,0.707092,0.707092,0.728714,0.000244
476,0.047600,0.621872,0.684540,0.731049,-0.002090
477,0.047700,0.536957,0.661301,0.731400,-0.046860
478,0.047800,0.453354,0.637421,0.730164,-0.045624
479,0.047900,0.372025,0.612900,0.726181,-0.088760
480,0.048000,0.293884,0.587784,0.720108,-0.082687
481,0.048100,0.219803,0.562073,0.710663,-0.122879
482,0.048200,0.150558,0.535812,0.698807,-0.111023
483,0.048300,0.086868,0.509033,0.683334,-0.147522
484,0.048400,0.029327,0.481750,0.665222,-0.129410
485,0.048500,-0.021530,0.453979,0.643692,-0.161942
